name,budget_limit,is_predefined
Food,15000.0,True
Rent,50000.0,True
Salary,500000.0,True
Miscellaneous Expenses,50000.0,True
Transportation,15000.0,True
Utilities,10000.0,True
Entertainment,5000.0,True
Healthcare,5000.0,True
Shopping,5000.0,True
Education,,True
Investment,,True
Transfer,,True
Gym Membership,2000.0,False
Flat Maintenance,2500.0,False
Light Bill,5000.0,False
Milk Bill,4000.0,False
Gas Cylinder,1500.0,False
Net+Broadband,2000.0,False
PocketMoney-Prachi,10000.0,False
PocketMoney-Mom,10000.0,False
vagitables,2000.0,False
Fruit,1500.0,False
Home-EMI,75000.0,False
Car-EMI,50000.0,False
My-PocketMoney,10000.0,False
Sports,3000.0,False
Petrol,5000.0,False
